accept_stat__,stepsize__,int_time__,energy__,lp__
0.474304,2.42885,24.2885,3.90335,-3.7524
1,2.90348,29.0348,2.82189,-2.04537
1,3.46963,34.6963,2.20039,-2.10208
1,4.1447,41.447,1.85118,-1.47405
0.122534,2.25825,22.5825,3.999,-3.17908
1,2.69783,26.9783,3.66916,-2.34694
0.851883,2.8229,28.229,4.90253,-3.36844
0.961668,3.25721,32.5721,5.82164,-4.61932
1,3.88777,38.8777,2.6504,-1.62149
0.55436,3.12027,31.2027,4.04858,-1.8523
0.109811,1.68753,16.8753,4.98516,-3.44271
1,2.01448,20.1448,3.02981,-2.8341
0.9633,2.32693,23.2693,3.2395,-2.8037
1,2.77592,27.7592,3.26043,-2.74854
1,3.3104,33.104,2.90943,-2.89991
0.233416,2.00313,20.0313,3.87869,-3.55329
1,2.38876,23.8876,3.88382,-2.17817
0.657278,2.10418,21.0418,3.73544,-2.24233
1,2.50829,25.0829,2.90164,-1.88747
0.904477,2.7477,27.477,3.66028,-2.23853
1,3.27344,32.7344,2.33948,-1.87109
1,3.89846,38.9846,3.07675,-1.99842
0.842969,4.04313,40.4313,4.3653,-3.21569
1,4.81252,48.1252,3.94743,-2.44243
0.00123559,2.3852,23.852,8.61472,-6.10086
1,2.83959,28.3959,4.33745,-3.17108
0.647449,2.4822,24.822,5.24352,-4.4165
1,2.95397,29.5397,8.56946,-3.70303
1,3.51425,35.1425,5.73505,-5.57815
1,4.17941,41.7941,3.51559,-2.93109
0.711168,3.86268,38.6268,3.33355,-3.12897
1,4.59188,45.9188,2.79503,-2.53951
1,5.45695,54.5695,2.21089,-1.99524
1.33211e-005,2.71767,27.1767,13.4603,-12.9354
1,3.23022,32.3022,2.73447,-1.43117
0.136266,1.8139,18.139,4.91299,-4.41175
1,2.15612,21.5612,2.96736,-1.62264
0.799674,2.15396,21.5396,2.58698,-2.40711
1,2.5591,25.591,1.14271,-1.11227
1,3.03946,30.3946,2.22155,-1.07156
0.779092,2.98197,29.8197,2.64385,-1.22726
1,3.54008,35.4008,3.23385,-1.48311
0.87849,3.78347,37.8347,2.07271,-2.05975
0.927947,4.21905,42.1905,2.09452,-1.62989
0.153257,2.41512,24.1512,3.97718,-3.13249
1,2.86589,28.6589,6.51695,-2.71473
0.107642,1.57968,15.7968,5.36384,-4.22482
1,1.87467,18.7467,1.96196,-1.83985
1,2.22403,22.2403,2.25386,-1.63119
1,2.63768,26.3768,1.96489,-1.52354
0.912473,2.9016,29.016,2.87205,-1.50096
1,3.43937,34.3937,1.77944,-1.71505
1,4.07554,40.7554,1.36123,-1.17939
0.961185,4.67058,46.7058,1.28569,-1.24459
0.820528,4.7464,47.464,1.51068,-1.46866
0.811511,4.78641,47.8641,2.61453,-1.71111
1,5.66657,56.6657,2.78569,-1.20878
1.25118e-008,2.8655,28.655,18.5631,-17.1039
1,3.39298,33.9298,4.27256,-2.55161
0.0806669,1.84049,18.4049,7.4544,-6.005
