"","cor","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model"
"50",0,"tmb",1,0.8,"diag",0.908090130283654,8,1.15428185462952,2.44672203063965,432.852128040827,1000,1000,388.188802442107,0.999041400360281,0.999503430714019,0.999248120798212,176.911035508053,"mvnd"
"51",0,"admb",1,0.8,"diag",0.99261,8,NA,0.390000000000015,261.230954805167,332.707207883814,1000,253.005117567839,0.999001509512478,1.01142093350153,1.00193375242987,669.822961038864,"mvnd"
"52",0,"admb.rwm",1,0.8,"diag",NA,8,NA,0.280000000000001,283.598864314835,350.340827194597,1000,311.189798909422,0.999132718734204,1.01227212266102,1.00073376785822,1012.85308683869,"mvnd"
"53",0,"stan",2,0.8,"diag",0.986898664837336,8,0.045,0.069,440.099596607198,1000,1000,452.760135792805,0.99901227404203,1.00313448495392,0.99922240262672,6378.25502329273,"mvnd"
"54",0,"tmb",2,0.8,"diag",0.974480603071652,8,1.11737322807312,1.94942712783813,244.408395545816,1000,1000,265.506872711472,0.999006495028608,1.00700708212071,0.999559561047339,125.374471328333,"mvnd"
"55",0,"admb",2,0.8,"diag",1.02493,8,NA,0.370000000000005,306.721834763857,351.0967172147,1000,313.47335563065,0.999000467174689,1.01118525726375,1.00151635840192,828.977931794197,"mvnd"
"56",0,"admb.rwm",2,0.8,"diag",NA,8,NA,0.280000000000001,301.920101706866,357.998750930511,1000,327.579312675084,0.999376429146632,1.00723144592223,1.0027712873607,1078.28607752452,"mvnd"
"57",0,"stan",3,0.8,"diag",0.925660356069799,8,0.039,0.067,501.250938336779,1000,1000,544.426538923585,0.999000111666963,1.00200257022195,0.999300897343448,7481.35728860864,"mvnd"
"58",0,"tmb",3,0.8,"diag",0.969856692955462,8,1.08323287963867,1.81321907043457,267.206044742616,1000,1000,269.610763045672,0.999029656109918,1.00391689942895,0.999595295913584,147.365560565484,"mvnd"
"59",0,"admb",3,0.8,"diag",0.988235,8,NA,0.370000000000005,231.675678070074,398.614283812792,1000,341.865225474208,0.999000440919793,1.00976739885215,1.00029534685514,626.150481270462,"mvnd"
"60",0,"admb.rwm",3,0.8,"diag",NA,8,NA,0.280000000000001,214.562227964304,349.794260147704,1000,214.779088049709,0.998999815532088,1.00667449725927,1.00203291103473,766.293671301082,"mvnd"
"61",1,"stan",1,0.8,"diag",0.793279254406182,8,0.037,0.083,531.736169109069,1000,1000,510.100236300271,0.999065228629605,1.00516412822295,0.999564093346222,6406.45986878397,"mvnd"
"62",1,"tmb",1,0.8,"diag",0.854005062517004,8,1.01471281051636,2.00887489318848,349.221010828494,1000,1000,341.498196734015,0.999044410921116,1.00276492643701,0.999329360675993,173.839103675696,"mvnd"
"63",1,"admb",1,0.8,"diag",0.893903,8,NA,0.439999999999998,319.533538205831,473.901456268863,1000,316.606391114641,0.999018401904575,1.00156140413616,0.999110826671063,726.212586831439,"mvnd"
