"X","platform","seed","delta.target","metric","eps.final","Npar","time.warmup","time.total","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","efficiency","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
4,"admb",1,0.9,"diag",0.144685,177,NA,865.19,171.859868849787,1000,1000,194.5852360017,0.99899994864277,1.03358387905491,0.999279021339226,0.198638297772497,"swallows",0.142376384038154,0.0475567673727717,0.144287279296706,0.0822926797867081,0.198638297772497
8,"admb",2,0.9,"diag",0.143808,177,NA,830.48,68.3424247092654,1000,1000,65.5355132987944,0.998999726736127,1.02546549250471,0.999432906033754,0.0822926797867081,"swallows",0.142376384038154,0.0475567673727717,0.144287279296706,0.0822926797867081,0.198638297772497
12,"admb",3,0.9,"diag",0.15152,177,NA,1127.91,161.565256592383,1000,1000,194.794881815692,0.998999504007021,1.01363830006788,0.999369921527112,0.143243039420151,"swallows",0.142376384038154,0.0475567673727717,0.144287279296706,0.0822926797867081,0.198638297772497
16,"admb",4,0.9,"diag",0.134152,177,NA,869.65,126.387555649025,1000,1000,150.368400498244,0.998999504426227,1.00470366959032,0.999281000708641,0.14533151917326,"swallows",0.142376384038154,0.0475567673727717,0.144287279296706,0.0822926797867081,0.198638297772497
4,"admb",1,0.8,"diag",0.972758,5,NA,0.5,282.669590220859,1000,1000,269.889175514374,0.999051002385189,0.999597772667551,0.999304842025782,565.339180441719,"zdiag",576.890411102505,15.3993565219857,574.620227455993,563.058887675607,595.262301822426
8,"admb",2,0.8,"diag",1.04188,5,NA,0.519999999999982,303.628662724529,1000,1000,301.005869224286,0.999324344743119,1.00069444062193,0.999777510524417,583.901274470268,"zdiag",576.890411102505,15.3993565219857,574.620227455993,563.058887675607,595.262301822426
12,"admb",3,0.8,"diag",1.02968,5,NA,0.5,297.631150911213,1000,1000,312.668846702029,0.99899952989007,0.999916529317636,0.99909922131208,595.262301822426,"zdiag",576.890411102505,15.3993565219857,574.620227455993,563.058887675607,595.262301822426
16,"admb",4,0.8,"diag",1.10502,5,NA,0.5,281.529443837804,1000,1000,264.162400887927,0.999134134297531,1.00105727197671,0.999310325496074,563.058887675607,"zdiag",576.890411102505,15.3993565219857,574.620227455993,563.058887675607,595.262301822426
3,"tmb",1,0.9,"diag",0.151451691275996,66,50.6862711906433,64.3661639690399,216.748352662179,1000,1000,200.97030691343,0.999000734140851,1.00760168887991,0.999551220661289,3.36742691030081,"growth",2.59695428332113,0.834093872940981,2.66764620842615,1.68509780613141,3.36742691030081
7,"tmb",2,0.9,"diag",0.143901650886548,66,63.1005139350891,81.3364498615265,137.059873220176,1000,1000,198.84696257215,0.998999623649837,1.00521569563798,0.999406267277892,1.68509780613141,"growth",2.59695428332113,0.834093872940981,2.66764620842615,1.68509780613141,3.36742691030081
11,"tmb",3,0.9,"diag",0.142108295178792,66,78.9471709728241,103.614201068878,217.24455535691,1000,1000,228.372647812174,0.999000409234681,1.00208764805149,0.99960332967571,2.09666776480278,"growth",2.59695428332113,0.834093872940981,2.66764620842615,1.68509780613141,3.36742691030081
15,"tmb",4,0.9,"diag",0.164478055233583,66,59.6562209129333,82.4188048839569,266.923573289643,1000,1000,242.025019685199,0.998999500000954,1.00350282087749,0.999359242638502,3.23862465204952,"growth",2.59695428332113,0.834093872940981,2.66764620842615,1.68509780613141,3.36742691030081
3,"tmb",1,0.8,"diag",0.658950487052841,50,0.965917825698853,1.83376789093018,221.412416419599,1000,1000,212.77706759925,0.999001638121653,1.00148933515554,0.999241533950719,120.741789358787,"iidz",107.310007475026,22.512936481841,117.423248511051,73.6517435192173,120.741789358787
7,"tmb",2,0.8,"diag",0.635821330002953,50,1.03968095779419,2.04171204566956,242.094710732288,1000,1000,206.65538883102,0.998999511922265,1.00206499733175,0.999224488870748,118.574365687741,"iidz",107.310007475026,22.512936481841,117.423248511051,73.6517435192173,120.741789358787
11,"tmb",3,0.8,"diag",0.659673535675028,50,1.17566990852356,2.09805107116699,154.52511938381,1000,1000,206.731706774109,0.999000344865495,1.00459698227112,0.999189473031603,73.6517435192173,"iidz",107.310007475026,22.512936481841,117.423248511051,73.6517435192173,120.741789358787
15,"tmb",4,0.8,"diag",0.607490498599692,50,1.25101017951965,2.31622409820557,269.312312546367,1000,1000,247.218570568361,0.998999721717331,1.00360589407729,0.999233518022334,116.27213133436,"iidz",107.310007475026,22.512936481841,117.423248511051,73.6517435192173,120.741789358787
3,"tmb",1,0.9,"diag",0.146178324634845,177,412.150590896606,677.318155050278,234.7305272291,1000,1000,218.03725239244,0.99899961078695,1.01061386678703,0.999455679394107,0.346558741233912,"swallows",0.290923687726137,0.0501864985629673,0.295606494285243,0.225923021100152,0.346558741233912
7,"tmb",2,0.9,"diag",0.165338363344698,177,407.943256139755,673.901138067245,192.609264596458,1000,1000,178.342253551396,0.999000200792671,1.02036474222311,0.999395412509851,0.285812345040496,"swallows",0.290923687726137,0.0501864985629673,0.295606494285243,0.225923021100152,0.346558741233912
11,"tmb",3,0.9,"diag",0.150347666157341,177,517.883896112442,846.462527990341,191.23537157165,1000,1000,193.928714767744,0.998999764860893,1.00591603091192,0.999247643994877,0.225923021100152,"swallows",0.290923687726137,0.0501864985629673,0.295606494285243,0.225923021100152,0.346558741233912
15,"tmb",4,0.9,"diag",0.0943795238200891,177,572.147526025772,982.726013183594,300.12515683993,1000,1000,265.019155689516,0.998999544403637,1.00464931296017,0.999452534754931,0.305400643529989,"swallows",0.290923687726137,0.0501864985629673,0.295606494285243,0.225923021100152,0.346558741233912
3,"tmb",1,0.8,"diag",1.01170256661391,5,0.90625786781311,1.48439288139343,283.707488616798,1000,1000,311.982078940336,0.998999631668992,1.00047999004339,0.999034715349046,191.12695309511,"zdiag",210.90150587099,15.9763976400157,212.977545977302,191.12695309511,226.523978434245
7,"tmb",2,0.8,"diag",1.0128485656395,5,0.968754053115845,1.57815313339233,323.784331901467,1000,1000,289.509186228578,0.999046159219424,0.999983847443515,0.999099998096931,205.16661219401,"zdiag",210.90150587099,15.9763976400157,212.977545977302,191.12695309511,226.523978434245
11,"tmb",3,0.8,"diag",1.06631594760899,5,0.906260013580322,1.50001692771912,339.789802185648,1000,1000,364.062661549429,0.999041392361922,1.00008585468027,0.999648962285392,226.523978434245,"zdiag",210.90150587099,15.9763976400157,212.977545977302,191.12695309511,226.523978434245
15,"tmb",4,0.8,"diag",1.05217935983601,5,0.890630960464478,1.45312690734863,320.833680772719,1000,1000,280.739989571904,0.999000874527857,1.00047572059559,0.999896020913193,220.788479760594,"zdiag",210.90150587099,15.9763976400157,212.977545977302,191.12695309511,226.523978434245
