"","platform","seed","delta.target","metric","eps.final","Npar","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","samples.per.time","time.total","model","cor"
"56","tmb.nuts",59189,0.8,"diag_e",8.22510796170372,100,77.27,1716.05890653082,5000,5000,1597.51083226271,0.999799985402057,1.00160769328947,0.999889690576608,22.2086049764568,77.27,"mvnd",1
"57","stan.nuts",33032,0.8,"diag_e",0.374148426682644,100,15.3599999999999,2136.7751755723,3942.40891530264,5000,2174.23352203548,0.999800184853575,1.00113393676618,0.999866905000492,139.112967159656,15.3599999999999,"mvnd",1
"58","tmb.nuts",33032,0.8,"diag_e",8.28413306544287,100,75.9399999999999,1683.96630852779,5000,5000,1675.50596778529,0.99980011098745,1.00214988341543,0.99987901767487,22.174957973766,75.9399999999999,"mvnd",1
"59","stan.nuts",19139,0.8,"diag_e",0.398103940520483,100,14.7900000000001,2182.35755386387,3643.57872405935,5000,2150.80057688034,0.999799990465389,1.00238957766264,0.999984318079678,147.556291674365,14.7900000000001,"mvnd",1
"60","tmb.nuts",19139,0.8,"diag_e",8.38466666222291,100,74.2099999999999,1471.24615253968,5000,5000,1660.75195263408,0.999800053188873,1.00170115666536,0.999916797988908,19.8254433707005,74.2099999999999,"mvnd",1
"61","stan.nuts",59189,0.8,"diag_e",0.479449554400756,200,46.39,1711.50720532032,5000,5000,1731.80134715121,0.999799981437773,1.00130476429947,0.999872904372379,36.8938824169072,46.39,"mvnd",0
"62","tmb.nuts",59189,0.8,"diag_e",0.448821353164291,200,29.6999999999999,1393.65903520277,5000,5000,1333.44391341158,0.999799984900851,1.00141199293079,0.99988472028519,46.924546639824,29.6999999999999,"mvnd",0
"63","stan.nuts",33032,0.8,"diag_e",0.410644827964344,200,65.02,2079.60099832656,4439.11144820284,5000,2032.60519922348,0.999799982807116,1.00188702122423,0.999890811331513,31.9840202757084,65.02,"mvnd",0
"64","tmb.nuts",33032,0.8,"diag_e",0.453240913234235,200,30.0900000000001,1253.46011144001,5000,5000,1338.64398996489,0.999799980215716,1.00138658612219,0.999902828953664,41.6570326168165,30.0900000000001,"mvnd",0
"65","stan.nuts",19139,0.8,"diag_e",0.481747009682469,200,46.5899999999999,1730.30889651097,5000,5000,1681.8614981826,0.99979998934681,1.00161425569467,0.9998524565344,37.1390619555907,46.5899999999999,"mvnd",0
"66","tmb.nuts",19139,0.8,"diag_e",0.441175393064076,200,35.0899999999999,1456.87078764325,5000,5000,1462.7124049194,0.99979998123143,1.00129480226024,0.999884504624621,41.5181187701126,35.0899999999999,"mvnd",0
"67","stan.nuts",59189,0.8,"diag_e",0.226409037445422,200,139.01,2229.06413479755,4021.88255151099,5000,2209.09450281462,0.999799985408443,1.00134292231633,0.999904943641902,16.035279007248,139.01,"mvnd",1
"68","tmb.nuts",59189,0.8,"diag_e",5.98982304010433,200,311.81,2091.48310389817,5000,5000,2107.72900863769,0.999799980063172,1.00137795540602,0.999888969447171,6.70755621660039,311.81,"mvnd",1
"69","stan.nuts",33032,0.8,"diag_e",0.251985526797286,200,109.11,2079.32319363922,5000,5000,2217.15032678163,0.999799980088228,1.00088643955483,0.999861532860455,19.0571276110276,109.11,"mvnd",1
"70","tmb.nuts",33032,0.8,"diag_e",6.11413857368375,200,314.75,1664.17063353764,5000,5000,1746.66268074741,0.999799980758596,1.00074174757533,0.999844418406977,5.28727762839598,314.75,"mvnd",1
"71","stan.nuts",19139,0.8,"diag_e",0.245976603353795,200,118.54,2075.52877858382,5000,5000,2285.34402759028,0.999800054103129,1.00244855240081,0.999917510347836,17.5091005448272,118.54,"mvnd",1
"72","tmb.nuts",19139,0.8,"diag_e",6.03560153680188,200,308.94,1368.35441061633,5000,5000,1744.47092954722,0.999799980257675,1.00102058642109,0.999864109256656,4.42919146312013,308.94,"mvnd",1
"73","stan.nuts",59189,0.8,"diag_e",0.407375234441075,300,200.13,2059.06240573254,4236.30237203051,5000,2057.3557010025,0.999799981316753,1.00231214451246,0.999931333055936,10.2886244227879,200.13,"mvnd",0
"74","tmb.nuts",59189,0.8,"diag_e",0.40785353987106,300,45.0599999999999,936.381065595615,5000,5000,1073.63407008944,0.999799980130194,1.00051976811796,0.999851054202926,20.7807604437554,45.0599999999999,"mvnd",0
"75","stan.nuts",33032,0.8,"diag_e",0.360935204847553,300,231.57,1830.22673402317,3968.42010019993,5000,1807.89148121357,0.999800095869269,1.00232157519064,0.999930484812359,7.90355717071802,231.57,"mvnd",0
"76","tmb.nuts",33032,0.8,"diag_e",0.402363575270958,300,44.8399999999997,1117.50790517004,5000,5000,1072.61212056043,0.999799991415724,1.00078705036046,0.999840304479838,24.9221209895194,44.8399999999997,"mvnd",0
"77","stan.nuts",19139,0.8,"diag_e",0.371076518849977,300,230.15,2229.84131242431,3668.8376445761,5000,2174.84649809971,0.999799981560007,1.00331636861484,0.999910875525403,9.68864354735741,230.15,"mvnd",0
"78","tmb.nuts",19139,0.8,"diag_e",0.416372304257774,300,1123.85,1113.76955979205,5000,5000,1071.91531007443,0.999799988850971,1.00191387564707,0.999897613345913,0.991030439820306,1123.85,"mvnd",0
"79","stan.nuts",59189,0.8,"diag_e",0.115800431943862,300,901.48,2022.22646408907,5000,5000,2073.68612829763,0.999799980027617,1.00145690157008,0.999919580815424,2.24322942726302,901.48,"mvnd",1
"80","tmb.nuts",59189,0.8,"diag_e",3.17297788976968,300,1324.15,1846.49500865129,5000,5000,1763.63392935369,0.999799980041265,1.00202816471287,0.999901807224623,1.39447570792681,1324.15,"mvnd",1
"81","stan.nuts",33032,0.8,"diag_e",0.114078937154155,300,899.86,1953.05771101393,5000,5000,2091.41482649409,0.999799981843619,1.00207839384911,0.999898337429039,2.17040174139748,899.86,"mvnd",1
"82","tmb.nuts",33032,0.8,"diag_e",3.18218979451889,300,1299.94,1507.4815255048,5000,5000,1648.44518447997,0.99980000285694,1.00194389169956,0.999883444695022,1.15965469598966,1299.94,"mvnd",1
"83","stan.nuts",19139,0.8,"diag_e",0.119069302063795,300,717.09,2177.07565371876,5000,5000,2092.32782174566,0.999799981232109,1.00130997988783,0.999908674716762,3.03598663169024,717.09,"mvnd",1
"84","tmb.nuts",19139,0.8,"diag_e",3.27307210336513,300,1259.45,1709.60396237002,5000,5000,1829.80253169935,0.999799998273876,1.00132361558088,0.999860524544194,1.35742106663228,1259.45,"mvnd",1
"85","stan.nuts",59189,0.8,"diag_e",0.35893226654514,400,537.620000000001,1943.09537183543,3866.17156858421,5000,1869.60195853963,0.999799980203424,1.00283220297148,0.999947362872999,3.61425425362788,537.620000000001,"mvnd",0
"86","tmb.nuts",59189,0.8,"diag_e",0.457382545074744,400,34.0300000000007,1986.50583766077,5000,5000,2165.54639462727,0.999799980158454,1.00133210815748,0.999857390217464,58.375134812246,34.0300000000007,"mvnd",0
"87","stan.nuts",33032,0.8,"diag_e",0.342194148111723,400,536.980000000001,1542.58255552513,5000,5000,1650.94686899886,0.999799980193066,1.00101514401081,0.999852149112753,2.872700203965,536.980000000001,"mvnd",0
"88","tmb.nuts",33032,0.8,"diag_e",0.458599853862314,400,33.6000000000004,1688.92999472951,5000,5000,1812.56159378144,0.999799983653251,1.00100580386334,0.999859385954489,50.2657736526634,33.6000000000004,"mvnd",0
"89","stan.nuts",19139,0.8,"diag_e",0.375663661851736,400,541.919999999998,1823.36520303316,3452.01330906651,5000,1865.10423061156,0.999799981860046,1.00228839646278,0.999935061041967,3.36463906671311,541.919999999998,"mvnd",0
"90","tmb.nuts",19139,0.8,"diag_e",0.465535002590285,400,37.3099999999995,1826.2063622054,5000,5000,1950.67046712919,0.999799980458848,1.00120773650014,0.999857368583804,48.946833615798,37.3099999999995,"mvnd",0
